Parameter,Value,Attack type,Overshoot,Maximum deviation,Max deviation during attack,Mean deviation during attack,Steady-state error,Output bounded
delay_steps,5,delay,0.0,4.625,0.591382694053749,0.588439483107004,0.5882352941149858,True
delay_steps,10,delay,0.0,4.625,0.5911304440380256,0.5879981149877129,0.5882352712059209,True
delay_steps,20,delay,0.0,4.625,0.600974414877447,0.5882614145207946,0.5882350956530633,True
delay_steps,40,delay,0.0,4.625,0.7392200158826885,0.5556917981204686,0.588290937096879,True
delay_steps,60,delay,0.0018275285001703168,4.625,0.6691643552107553,0.13822527148632047,0.5882651192152668,True
