Parameter,Value,Attack type,Overshoot,Maximum deviation,Max deviation during attack,Mean deviation during attack,Steady-state error,Output bounded
attack_offset,-1.0,sensor_manipulation,0.3522325044012238,4.625,0.5115444784648115,0.2882172304654883,0.5878348033185166,True
attack_offset,-2.0,sensor_manipulation,1.2927030156620614,4.625,1.2927030156620614,1.0657611645631506,0.5863645596684517,True
attack_offset,-3.0,sensor_manipulation,2.2331735269229043,4.625,2.2331735269229043,1.8717860638148083,0.5805146491428932,True
attack_offset,-4.0,sensor_manipulation,3.173644038183742,4.625,3.173644038183742,2.6827500055099605,0.5595638678843731,True
attack_offset,-5.0,sensor_manipulation,4.114114549444581,4.625,4.114114549444581,3.4969648903605535,0.490857235858984,True
delay_steps,5.0,delay,0.0,4.625,0.591382694053749,0.588439483107004,0.5882352941149858,True
delay_steps,10.0,delay,0.0,4.625,0.5911304440380256,0.5879981149877129,0.5882352712059209,True
delay_steps,20.0,delay,0.0,4.625,0.600974414877447,0.5882614145207946,0.5882350956530633,True
delay_steps,40.0,delay,0.0,4.625,0.7392200158826885,0.5556917981204686,0.588290937096879,True
delay_steps,60.0,delay,0.0018275285001703168,4.625,0.6691643552107553,0.13822527148632047,0.5882651192152668,True
false_sensor_value,2.0,false_injection,38.982298732656645,38.982298732656645,38.982298732656645,20.77461760844254,21.354028517989484,False
false_sensor_value,4.0,false_injection,28.303885336439436,28.303885336439436,28.303885336439436,15.013161449262347,14.518676016889838,False
false_sensor_value,6.0,false_injection,17.625471940222184,17.625471940222184,17.625471940222184,9.252900488522918,7.683323515790153,False
false_sensor_value,8.0,false_injection,6.94705854400495,6.94705854400495,6.94705854400495,3.509988546101783,0.8479710146904669,False
false_sensor_value,12.0,false_injection,0.0,4.625,3.731354852212281,2.2869001274967964,0.5893936400367092,True
attack_duration,20.0,false_injection,4.862560450363533,4.862560450363533,4.862560450363533,2.347825050106005,0.5870571844362455,True
attack_duration,40.0,false_injection,9.549757209538367,9.549757209538367,9.549757209538367,4.793955389669139,0.2404439397988014,False
attack_duration,80.0,false_injection,17.625471940222184,17.625471940222184,17.625471940222184,9.252900488522918,7.683323515790153,False
attack_duration,120.0,false_injection,24.233991795979954,24.233991795979954,24.233991795979954,13.176772630368271,16.77863888783525,False
kp,0.2,sensor_manipulation,0.0403483507604836,4.925,2.32591808075669,0.7756119208154744,1.7855671822696788,True
kp,0.4,sensor_manipulation,1.4892002213982796,4.825,1.4892002213982796,1.0026780256336794,1.0450492467479382,True
kp,0.6,sensor_manipulation,1.9879453038468622,4.725,1.9879453038468622,1.542848375966391,0.7471384985125749,True
kp,0.8,sensor_manipulation,2.2331735269229043,4.625,2.2331735269229043,1.8717860638148083,0.5805146491428932,True
kp,1.0,sensor_manipulation,2.3805945367288928,4.525,2.3805945367288928,2.0846243279348573,0.47341663940584766,True
attack_start,20.0,false_injection,17.130483986191514,17.130483986191514,17.130483986191514,8.698665695040562,2.855724960250088,False
attack_start,50.0,false_injection,17.593260916824747,17.593260916824747,17.593260916824747,9.21563667015225,5.196712114943068,False
attack_start,80.0,false_injection,17.625471940222184,17.625471940222184,17.625471940222184,9.252900488522918,7.683323515790153,False
attack_start,120.0,false_injection,17.627812681606706,17.627812681606706,17.627812681606706,9.25560841123402,11.611129180336452,False
