Scenario,Overshoot,Maximum deviation,Max deviation during attack,Mean deviation during attack,Steady-state error,Output bounded
Normal,0.0,4.625,0.5915444784648116,0.5887155703977135,0.5882352951173822,True
Sensor manipulation,2.2331735269229043,4.625,2.2331735269229043,1.8717860638148083,0.5805146491428932,True
Delay attack,0.0,4.625,0.7392200158826885,0.5556917981204686,0.588290937096879,True
False injection,17.625471940222184,17.625471940222184,17.625471940222184,9.252900488522918,7.683323515790153,False
